line_id,molecule,transition,E(K),Aij(s-1),isNull,per01_intensity,median_intensity,mean_log_intensity,per75_intensity,per90_intensity,per95_intensity,per99_intensity,freq
h2_v0_j12__v0_j10,h2,v0_j12__v0_j10,3262.68724877,7.029e-07,False,-8.058915455911134,-6.438222217678062,-6.26754207881382,-5.815442324321561,-4.893613545350325,-4.5238831926827885,-4.242082744841756,67983.37152115803
h2_v0_j13__v0_j11,h2,v0_j13__v0_j11,3441.16314799,9.633e-07,False,-7.649881265545392,-6.013228843234744,-5.833881911419367,-5.369130440344461,-4.410806576949876,-4.023496621387464,-3.7747247679492495,71702.20585589857
h2_v0_j14__v0_j12,h2,v0_j14__v0_j12,3600.41062584,1.269e-06,False,-8.196797303034574,-6.541877580627881,-6.358899721168475,-5.864193759265395,-4.933363856474744,-4.552605609439218,-4.304524535648657,75020.38489820955
h2_v0_j15__v0_j13,h2,v0_j15__v0_j13,3740.85942198,1.617e-06,False,-7.786163074236008,-6.118132476846265,-5.926613999720618,-5.4208768597664045,-4.465620706706664,-4.05615839685963,-3.798147691771338,77946.86296970861
h2_v0_j16__v0_j14,h2,v0_j16__v0_j14,3863.08364721,1.999e-06,False,-8.340440169620754,-6.655327970148207,-6.456358766041372,-5.918792443301256,-4.986830378064083,-4.591969173519496,-4.327778121805074,80493.60259846992
h2_v0_j17__v0_j15,h2,v0_j17__v0_j15,3967.76316534,2.407e-06,False,-7.947982219678021,-6.238275423919585,-6.03395067643898,-5.485471623442369,-4.546294849343477,-4.129221525452764,-3.841969173501444,82674.76984775819
h2_v0_j18__v0_j16,h2,v0_j18__v0_j16,4055.64907545,2.831e-06,False,-8.493934533744918,-6.776011468092428,-6.566594137395886,-5.99466973152038,-5.075438181060381,-4.672730933285018,-4.371893217546686,84506.01508302729
h2_v0_j19__v0_j17,h2,v0_j19__v0_j17,4127.53358536,3.259e-06,False,-8.09455439436767,-6.3664445523089785,-6.149420218051605,-5.562328588533576,-4.64926273045876,-4.231036541892808,-3.904753448147593,86003.84523688901
h2_v0_j20__v0_j18,h2,v0_j20__v0_j18,4184.22419132,3.68e-06,False,-8.639981007498276,-6.903280482907453,-6.687432543160117,-6.080480780094795,-5.1808517574369,-4.774633557370253,-4.438948756440965,87185.08580114816
h2_v0_j21__v0_j19,h2,v0_j21__v0_j19,4226.52180717,4.081e-06,False,-8.260732151114816,-6.498984307148125,-6.280430041964488,-5.655242487423715,-4.759035965964991,-4.346798014119579,-3.9927053973990776,88066.42511243944
